mukey,Percentage,Area in Acres,Area in Square Miles
1725696,19.52773854745723,104.82490626,0.1637882532
1725683,9.091972034049668,48.805708550000006,0.076258611
1725682,0.03585968414016855,0.19249479500000002,0.0003007719
1725727,1.2632828136824719,6.781302515,0.0105957423
1725722,0.06633351071371359,0.35607830500000004,0.0005563701
1725689,1.5187197678465225,8.15248816,0.0127382112
1725723,0.2695230431844504,1.4467997750000001,0.0022606155
1725700,0.23762219452060346,1.27555601,0.0019930482
1725685,0.027389617539666608,0.14702747500000002,0.0002297295
1725684,1.2165133154970915,6.530243835,0.0102034647
1725716,1.5042654150608832,8.07489719,0.0126169758
1725726,0.5708088361207831,3.064102,0.00478764
1725745,0.1429323738834703,0.767261025,0.0011988405
1725708,2.9181681087261944,15.664727265000002,0.0244760373
1725690,2.084004647488717,11.18693756,0.017479519199999998
1725704,1.9928133326213566,10.697422555000001,0.0167146551
1725686,0.0369644754358862,0.19842531500000002,0.0003100383
1725715,1.2081353148378995,6.485270725,0.0101331945
1725714,0.22924419386141132,1.2305829000000001,0.001922778
1725709,1.7610373253739258,9.45324888,0.0147706416
1725713,0.44559915593945004,2.3919764000000003,0.003737448
1725719,0.10002964523310176,0.5369591650000001,0.0008389953
1725720,0.0023016485327450936,0.01235525,1.9305e-05
1725707,0.3847435687336698,2.06530359,0.0032270238
1725693,0.0035445387404274436,0.019027085000000003,2.97297e-05
1725712,0.03526125552165483,0.18928243,0.00029575259999999997
1725728,0.14256411011823109,0.7652841850000001,0.0011957517
1725717,0.20254507088156823,1.087262,0.00169884
1725706,8.290630080889136,44.50410471,0.0695373822
1725680,1.2150402604361348,6.522336475,0.0101911095
1725692,0.050314036925807736,0.27008576500000003,0.0004220073
1725718,0.3277087180922464,1.759140495,0.0027486459
1725705,5.558158975784816,29.836199015000002,0.0466188723
1725691,0.2066420052698545,1.109254345,0.0017332029
1725698,0.20346573029466625,1.0922041,0.001706562
1725701,0.10675045894871743,0.573036495,0.0008953658999999999
1725699,0.0034064398284627383,0.01828577,2.85714e-05
1725724,0.02591656247870975,0.13912011500000002,0.0002173743
1725702,0.5734787484187674,3.07843409,0.0048100338
1725681,0.48449701614284213,2.600780125,0.0040637025
1725694,0.7207382215437985,3.868922985,0.0060451676999999995
1725687,0.014224187932364676,0.07635544500000001,0.0001193049
1725697,0.043593223210192066,0.23400843500000001,0.0003656367
1725703,0.004235033300250972,0.022733660000000003,3.55212e-05
1413666,1.0897845472841468,5.8499637700000005,0.0091405314
1413695,0.07093680777920378,0.380788805,0.0005949801
1413703,0.29792538607852487,1.59926356,0.0024988392
1413675,8.319907050225654,44.66126349,0.0697829418
1413688,6.002423175575275,32.221009370000004,0.0503451234
1413684,2.8746209184866567,15.430965935000001,0.0241107867
1413674,5.081625663565272,27.278168055000002,0.0426219651
1413672,0.1306876036892664,0.701531095,0.0010961379
1413682,4.120963598968125,22.12133381,0.0345644442
1413690,0.08672611671383512,0.46554582,0.0007274124
1413673,0.26468958126568576,1.42085375,0.002220075
1413691,0.37599730430923844,2.01835364,0.0031536648
1413685,3.2138378792426288,17.25188268,0.0269559576
1413686,1.5136101081038282,8.125059505000001,0.0126953541
1413680,0.002439747444709799,0.013096565000000001,2.04633e-05
1413676,0.005247758654658812,0.028169970000000003,4.40154e-05
1413696,0.24199532673281912,1.2990309850000001,0.0020297277
1413693,0.09510411737302726,0.51051893,0.0007976826
1413700,0.0641699610929332,0.34446437,0.0005382234
1413683,0.11020293174783508,0.59156937,0.0009243234
1413671,0.8677214968449002,4.6579292500000005,0.007277985
1413678,0.012751132871407816,0.068448085,0.0001069497
1413669,0.2954396056631602,1.58591989,0.0024779898
1413697,0.012474935047478404,0.06696545500000001,0.00010463309999999999
